GID,SEAS,Date,WEEK,V,H,PTSV,PTSH,Winner,Loser,home_win,Win_Margin,hGames,vGames,hWinP,vWinP
292970079,2009,10/24/2009,43,Youngstown St,Southern Illinois,8,27,Southern Illinois,Youngstown St,1,19,2,5,1,0.6
292970087,2009,10/24/2009,43,Boston College,Notre Dame,16,20,Notre Dame,Boston College,1,4,6,7,0.6667,0.7143
292970096,2009,10/24/2009,43,UL Monroe,Kentucky,13,36,Kentucky,UL Monroe,1,23,6,4,0.5,0.75
292970099,2009,10/24/2009,43,Auburn,LSU,10,31,LSU,Auburn,1,21,6,7,0.8333,0.7143
292970107,2009,10/24/2009,43,Colgate,Holy Cross,28,42,Holy Cross,Colgate,1,14,6,7,0.8333,1
292970108,2009,10/24/2009,43,Princeton,Harvard,3,37,Harvard,Princeton,1,34,5,5,0.6,0.2
292970111,2009,10/24/2009,43,Towson,Northeastern,7,27,Northeastern,Towson,1,20,6,6,0,0.3333
292970127,2009,10/24/2009,43,Iowa,Michigan State,15,13,Iowa,Michigan State,0,2,7,7,0.5714,1
292970130,2009,10/24/2009,43,Penn State,Michigan,35,10,Penn State,Michigan,0,25,7,7,0.7143,0.8571
292970142,2009,10/24/2009,43,Texas,Missouri,41,7,Texas,Missouri,0,34,6,6,0.6667,1
292970145,2009,10/24/2009,43,Arkansas,Ole Miss,17,30,Ole Miss,Arkansas,1,13,6,6,0.6667,0.5
292970150,2009,10/24/2009,43,Maryland,Duke,13,17,Duke,Maryland,1,4,6,7,0.5,0.2857
292970158,2009,10/24/2009,43,Iowa State,Nebraska,9,7,Iowa State,Nebraska,0,2,6,7,0.6667,0.5714
292970159,2009,10/24/2009,43,Columbia,Dartmouth,6,28,Dartmouth,Columbia,1,22,5,5,0,0.4
292970166,2009,10/24/2009,43,Fresno State,New Mexico St,34,3,Fresno State,New Mexico St,0,31,3,6,0.3333,0.5
292970167,2009,10/24/2009,43,UNLV,New Mexico,34,17,UNLV,New Mexico,0,17,6,7,0,0.2857
292970172,2009,10/24/2009,43,Brown,Cornell,34,14,Brown,Cornell,0,20,5,5,0.4,0.6
292970183,2009,10/24/2009,43,Akron,Syracuse,14,28,Syracuse,Akron,1,14,6,6,0.3333,0.1667
292970189,2009,10/24/2009,43,Cent Michigan,Bowling Green,24,10,Cent Michigan,Bowling Green,0,14,7,4,0.4286,0.75
292970193,2009,10/24/2009,43,N Illinois,Miami (OH),27,22,N Illinois,Miami (OH),0,5,7,1,0,0
292970194,2009,10/24/2009,43,Minnesota,Ohio State,7,38,Ohio State,Minnesota,1,31,7,7,0.7143,0.5714
292970195,2009,10/24/2009,43,Kent State,Ohio,20,11,Kent State,Ohio,0,9,7,7,0.7143,0.4286
292970219,2009,10/24/2009,43,Yale,Pennsylvania,0,9,Pennsylvania,Yale,1,9,5,5,0.6,0.6
292970221,2009,10/24/2009,43,South Florida,Pittsburgh,14,41,Pittsburgh,South Florida,1,27,7,6,0.8571,0.8333
292970222,2009,10/24/2009,43,Rhode Island,Villanova,7,36,Villanova,Rhode Island,1,29,7,6,0.8571,0.1667
292970239,2009,10/24/2009,43,Oklahoma State,Baylor,34,7,Oklahoma State,Baylor,0,27,6,6,0.5,0.8333
292970242,2009,10/24/2009,43,UCF,Rice,49,7,UCF,Rice,0,42,7,6,0,0.5
292970248,2009,10/24/2009,43,SMU,Houston,15,38,Houston,SMU,1,23,6,6,0.8333,0.5
292970252,2009,10/24/2009,43,TCU,BYU,38,7,TCU,BYU,0,31,7,6,0.8571,1
292970253,2009,10/24/2009,43,North Dakota,Southern Utah,10,35,Southern Utah,North Dakota,1,25,6,6,0.3333,0.5
292970254,2009,10/24/2009,43,Air Force,Utah,16,23,Utah,Air Force,1,7,6,7,0.8333,0.5714
292970257,2009,10/24/2009,43,Massachusetts,Richmond,12,34,Richmond,Massachusetts,1,22,6,6,1,0.6667
292970258,2009,10/24/2009,43,Georgia Tech,Virginia,34,9,Georgia Tech,Virginia,0,25,6,7,0.5,0.8571
292970264,2009,10/24/2009,43,Oregon,Washington,43,19,Oregon,Washington,0,24,7,6,0.4286,0.8333
292970276,2009,10/24/2009,43,UAB,Marshall,7,27,Marshall,UAB,1,20,7,6,0.5714,0.3333
292970277,2009,10/24/2009,43,Connecticut,West Virginia,24,28,West Virginia,Connecticut,1,4,6,6,0.8333,0.6667
292970282,2009,10/24/2009,43,W Illinois,Indiana State,14,17,Indiana State,W Illinois,1,3,7,5,0,0.2
292970301,2009,10/24/2009,43,Jacksonville,San Diego,34,16,Jacksonville,San Diego,0,18,6,5,0.5,0.4
292970309,2009,10/24/2009,43,Florida Atlantic,LA-Lafayette,51,29,Florida Atlantic,LA-Lafayette,0,22,1,5,1,0.2
292970322,2009,10/24/2009,43,Fordham,Lafayette,21,26,Lafayette,Fordham,1,5,6,6,0.8333,0.5
292970328,2009,10/24/2009,43,Louisiana Tech,Utah State,21,23,Utah State,Louisiana Tech,1,2,6,6,0.1667,0.5
292970331,2009,10/24/2009,43,Montana State,Eastern Washington,24,35,Eastern Washington,Montana State,1,11,6,6,0.6667,0.6667
292970333,2009,10/24/2009,43,Tennessee,Alabama,10,12,Alabama,Tennessee,1,2,7,6,1,0.5
292970344,2009,10/24/2009,43,Florida,Mississippi St,29,19,Florida,Mississippi St,0,10,6,6,0.3333,1
292972011,2009,10/24/2009,43,Alcorn State,Alabama State,17,24,Alabama State,Alcorn State,1,7,5,5,0.4,0.4
292972026,2009,10/24/2009,43,Ga. Southern,Appalachian State,16,52,Appalachian State,Ga. Southern,1,36,6,3,0.6667,0.6667
292972029,2009,10/24/2009,43,Edward Waters,Arkansas-Pine Bluff,12,38,Arkansas-Pine Bluff,Edward Waters,1,26,3,1,0.6667,0
292972032,2009,10/24/2009,43,FIU,Arkansas State,10,27,Arkansas State,FIU,1,17,5,1,0.2,0
292972046,2009,10/24/2009,43,E Kentucky,Austin Peay,20,24,Austin Peay,E Kentucky,1,4,6,1,0.3333,1
292972065,2009,10/24/2009,43,Winston-Salem,Bethune-Cookman,16,10,Winston-Salem,Bethune-Cookman,0,6,6,6,0.3333,0
292972083,2009,10/24/2009,43,Lehigh,Bucknell,35,16,Lehigh,Bucknell,0,19,6,6,0.5,0.1667
292972097,2009,10/24/2009,43,Butler,Campbell,23,16,Butler,Campbell,0,7,6,6,0.1667,1
292972110,2009,10/24/2009,43,Nicholls State,Central Arkansas,13,42,Central Arkansas,Nicholls State,1,29,6,6,0.6667,0.1667
292972127,2009,10/24/2009,43,Liberty,Charleston Southern,20,13,Liberty,Charleston Southern,0,7,6,6,0.3333,0.6667
292972132,2009,10/24/2009,43,Louisville,Cincinnati,10,41,Cincinnati,Louisville,1,31,6,6,1,0.3333
292972166,2009,10/24/2009,43,Drake,Davidson,21,16,Drake,Davidson,0,5,6,6,0.3333,0.8333
292972169,2009,10/24/2009,43,Morgan State,Delaware State,22,35,Delaware State,Morgan State,1,13,5,6,0.2,0.8333
292972199,2009,10/24/2009,43,Ball State,E Michigan,29,27,Ball State,E Michigan,0,2,2,7,0,0
