GID,Date,H,PTSH,V,PTSV,SEAS
222852010,10/12/2002,Alabama A&M,25,Tenn St,21,2002
223132296,11/9/2002,Jackson State,13,Alabama A&M,11,2002
223202010,11/16/2002,Alabama A&M,27,Alcorn State,20,2002
222712016,9/28/2002,Alcorn State,48,Alabama State,37,2002
222782011,10/5/2002,Alabama State,40,Morris Brown,7,2002
222852011,10/12/2002,Alabama State,24,Jackson State,20,2002
223132755,11/9/2002,Grambling St,34,Alabama State,21,2002
223322011,11/28/2002,Alabama State,20,Tuskegee,25,2002
222782016,10/5/2002,Alcorn State,10,Fort Valley St,7,2002
223272296,11/23/2002,Jackson State,34,Alcorn State,20,2002
222430276,8/31/2002,Marshall,50,Appalachian State,17,2002
222430012,8/31/2002,Arizona,37,N Arizona,3,2002
222570012,9/14/2002,Arizona,23,Utah,17,2002
222640275,9/21/2002,Wisconsin,31,Arizona,10,2002
222710012,9/28/2002,Arizona,14,North Texas,9,2002
222780012,10/5/2002,Arizona,14,Oregon,31,2002
222850264,10/12/2002,Washington,32,Arizona,28,2002
222920024,10/19/2002,Stanford,16,Arizona,6,2002
222990012,10/26/2002,Arizona,13,Washington St,21,2002
223060204,11/2/2002,Oregon State,38,Arizona,3,2002
223130012,11/9/2002,Arizona,7,UCLA,37,2002
223200025,11/16/2002,California,41,Arizona,52,2002
223330012,11/29/2002,Arizona,20,Arizona State,34,2002
222360158,8/24/2002,Nebraska,48,Arizona State,10,2002
222430009,8/31/2002,Arizona State,38,E Washington,2,2002
222500009,9/7/2002,Arizona State,46,UCF,13,2002
222570021,9/14/2002,San Diego State,28,Arizona State,39,2002
222710009,9/28/2002,Arizona State,65,Stanford,24,2002
222780009,10/5/2002,Arizona State,35,North Carolina,38,2002
222850009,10/12/2002,Arizona State,13,Oregon State,9,2002
222922483,10/19/2002,Oregon,42,Arizona State,45,2002
222990009,10/26/2002,Arizona State,27,Washington,16,2002
223060265,11/2/2002,Washington St,44,Arizona State,22,2002
223130009,11/9/2002,Arizona State,38,California,55,2002
223200030,11/16/2002,USC,34,Arizona State,13,2002
223610009,12/27/2002,Arizona State,27,Kansas State,34,2002
222500008,9/7/2002,Arkansas,41,Boise State,14,2002
222570008,9/14/2002,Arkansas,42,South Florida,3,2002
222782633,10/5/2002,Tennessee,41,Arkansas,38,2002
222850002,10/12/2002,Auburn,17,Arkansas,38,2002
222920008,10/19/2002,Arkansas,17,Kentucky,29,2002
222990008,10/26/2002,Arkansas,48,Ole Miss,28,2002
223060008,11/2/2002,Arkansas,23,Troy,0,2002
223132579,11/9/2002,South Carolina,0,Arkansas,23,2002
223200008,11/16/2002,Arkansas,24,LA-Lafayette,17,2002
223270344,11/23/2002,Mississippi St,19,Arkansas,26,2002
223330008,11/29/2002,Arkansas,21,LSU,20,2002
223410008,12/7/2002,Arkansas,3,Georgia,30,2002
223640135,12/30/2002,Minnesota,29,Arkansas,14,2002
222370259,8/25/2002,Virginia Tech,63,Arkansas State,7,2002
222432032,8/31/2002,Arkansas State,14,San Jose State,33,2002
222502032,9/7/2002,Arkansas State,21,Tulsa,19,2002
222570356,9/14/2002,Illinois,59,Arkansas State,7,2002
222850145,10/12/2002,Ole Miss,52,Arkansas State,17,2002
222922032,10/19/2002,Arkansas State,10,North Texas,13,2002
222992032,10/26/2002,Arkansas State,21,New Mexico St,26,2002
223200070,11/16/2002,Idaho,29,Arkansas State,38,2002
223202029,11/16/2002,Arkansas-Pine Bluff,37,Lane,40,2002
